id;date;status;id_season;id_competition;home_team_id;away_team_id;home_score;away_score;winner;round;venue;timestamp
12198234;26/06/2024 16:00;Ended;56953;1;4701;4717;0.0;0.0;3.0;;;1719417600
11873980;22/06/2024 19:00;Ended;56953;1;4717;4477;2.0;0.0;1.0;;;1719082800
11873978;17/06/2024 16:00;Ended;56953;1;4717;4697;0.0;1.0;2.0;;;1718640000
11873986;26/06/2024 19:00;Ended;56953;1;4714;4700;1.0;2.0;2.0;;;1719428400
12198160;22/06/2024 13:00;Ended;56953;1;4763;4714;1.0;1.0;3.0;;;1719061200
11873989;18/06/2024 19:00;Ended;56953;1;4704;4714;2.0;1.0;1.0;;;1718737200
11873986;26/06/2024 19:00;Ended;56953;1;4714;4700;1.0;2.0;2.0;;;1719428400
11873984;22/06/2024 16:00;Ended;56953;1;4700;4704;0.0;3.0;2.0;;;1719072000
12198159;18/06/2024 16:00;Ended;56953;1;4700;4763;3.0;1.0;1.0;;;1718726400
12198161;26/06/2024 19:00;Ended;56953;1;4763;4704;2.0;0.0;1.0;;;1719428400
12198160;22/06/2024 13:00;Ended;56953;1;4763;4714;1.0;1.0;3.0;;;1719061200
12198159;18/06/2024 16:00;Ended;56953;1;4700;4763;3.0;1.0;1.0;;;1718726400
12198161;26/06/2024 19:00;Ended;56953;1;4763;4704;2.0;0.0;1.0;;;1719428400
11873984;22/06/2024 16:00;Ended;56953;1;4700;4704;0.0;3.0;2.0;;;1719072000
11873989;18/06/2024 19:00;Ended;56953;1;4704;4714;2.0;1.0;1.0;;;1718737200
8513131;21/06/2021 19:00;Ended;26542;1;4694;4476;1.0;4.0;2.0;;;1624302000
8513119;16/06/2021 13:00;Ended;26542;1;4712;4694;0.0;1.0;2.0;;;1623848400
8513112;12/06/2021 19:00;Ended;26542;1;4717;4694;3.0;0.0;1.0;;;1623524400
8513131;21/06/2021 19:00;Ended;26542;1;4694;4476;1.0;4.0;2.0;;;1624302000
8513118;17/06/2021 16:00;Ended;26542;1;4476;4717;1.0;2.0;2.0;;;1623945600
8513122;12/06/2021 16:00;Ended;26542;1;4476;4712;0.0;1.0;2.0;;;1623513600
8513132;21/06/2021 19:00;Ended;26542;1;4712;4717;0.0;2.0;2.0;;;1624302000
8513119;16/06/2021 13:00;Ended;26542;1;4712;4694;0.0;1.0;2.0;;;1623848400
8513122;12/06/2021 16:00;Ended;26542;1;4476;4712;0.0;1.0;2.0;;;1623513600
8513132;21/06/2021 19:00;Ended;26542;1;4712;4717;0.0;2.0;2.0;;;1624302000
8513118;17/06/2021 16:00;Ended;26542;1;4476;4717;1.0;2.0;2.0;;;1623945600
8513112;12/06/2021 19:00;Ended;26542;1;4717;4694;3.0;0.0;1.0;;;1623524400
8602462;21/06/2021 16:00;Ended;26542;1;4777;4705;0.0;3.0;2.0;;;1624291200
8602446;17/06/2021 13:00;Ended;26542;1;4701;4777;2.0;1.0;1.0;;;1623934800
8602459;13/06/2021 16:00;Ended;26542;1;4718;4777;3.0;1.0;1.0;;;1623600000
8602462;21/06/2021 16:00;Ended;26542;1;4777;4705;0.0;3.0;2.0;;;1624291200
8513123;17/06/2021 19:00;Ended;26542;1;4705;4718;2.0;0.0;1.0;;;1623956400
8513129;13/06/2021 19:00;Ended;26542;1;4705;4701;3.0;2.0;1.0;;;1623610800
8513133;21/06/2021 16:00;Ended;26542;1;4701;4718;0.0;1.0;2.0;;;1624291200
8602446;17/06/2021 13:00;Ended;26542;1;4701;4777;2.0;1.0;1.0;;;1623934800
8513129;13/06/2021 19:00;Ended;26542;1;4705;4701;3.0;2.0;1.0;;;1623610800
8513133;21/06/2021 16:00;Ended;26542;1;4701;4718;0.0;1.0;2.0;;;1624291200
8513123;17/06/2021 19:00;Ended;26542;1;4705;4718;2.0;0.0;1.0;;;1623956400
8602459;13/06/2021 16:00;Ended;26542;1;4718;4777;3.0;1.0;1.0;;;1623600000
8602463;22/06/2021 19:00;Ended;26542;1;4715;4695;3.0;1.0;1.0;;;1624388400
8513117;18/06/2021 16:00;Ended;26542;1;4715;4714;1.0;1.0;3.0;;;1624032000
8513120;13/06/2021 13:00;Ended;26542;1;4713;4715;1.0;0.0;1.0;;;1623589200
8602463;22/06/2021 19:00;Ended;26542;1;4715;4695;3.0;1.0;1.0;;;1624388400
8602445;18/06/2021 19:00;Ended;26542;1;4713;4695;0.0;0.0;3.0;;;1624042800
8602458;14/06/2021 13:00;Ended;26542;1;4695;4714;0.0;2.0;2.0;;;1623675600
8513134;22/06/2021 19:00;Ended;26542;1;4714;4713;0.0;1.0;2.0;;;1624388400
8513117;18/06/2021 16:00;Ended;26542;1;4715;4714;1.0;1.0;3.0;;;1624032000
8602458;14/06/2021 13:00;Ended;26542;1;4695;4714;0.0;2.0;2.0;;;1623675600
8513134;22/06/2021 19:00;Ended;26542;1;4714;4713;0.0;1.0;2.0;;;1624388400
8602445;18/06/2021 19:00;Ended;26542;1;4713;4695;0.0;0.0;3.0;;;1624042800
8513120;13/06/2021 13:00;Ended;26542;1;4713;4715;1.0;0.0;1.0;;;1623589200
8513127;20/06/2021 16:00;Ended;26542;1;4699;4700;3.0;1.0;1.0;;;1624204800
8513126;16/06/2021 19:00;Ended;26542;1;4707;4699;3.0;0.0;1.0;;;1623870000
8513111;12/06/2021 13:00;Ended;26542;1;4702;4699;1.0;1.0;3.0;;;1623502800
8513127;20/06/2021 16:00;Ended;26542;1;4699;4700;3.0;1.0;1.0;;;1624204800
8513115;16/06/2021 16:00;Ended;26542;1;4700;4702;0.0;2.0;2.0;;;1623859200
8513121;11/06/2021 19:00;Ended;26542;1;4700;4707;0.0;3.0;2.0;;;1623438000
8513128;20/06/2021 16:00;Ended;26542;1;4707;4702;1.0;0.0;1.0;;;1624204800
8513126;16/06/2021 19:00;Ended;26542;1;4707;4699;3.0;0.0;1.0;;;1623870000
8513121;11/06/2021 19:00;Ended;26542;1;4700;4707;0.0;3.0;2.0;;;1623438000
8513128;20/06/2021 16:00;Ended;26542;1;4707;4702;1.0;0.0;1.0;;;1624204800
8513115;16/06/2021 16:00;Ended;26542;1;4700;4702;0.0;2.0;2.0;;;1623859200
8513111;12/06/2021 13:00;Ended;26542;1;4702;4699;1.0;1.0;3.0;;;1623502800
8602465;23/06/2021 16:00;Ended;26542;1;4697;4698;0.0;5.0;2.0;;;1624464000
8602448;18/06/2021 13:00;Ended;26542;1;4688;4697;1.0;0.0;1.0;;;1624021200
8602452;14/06/2021 16:00;Ended;26542;1;4703;4697;1.0;2.0;2.0;;;1623686400
8602465;23/06/2021 16:00;Ended;26542;1;4697;4698;0.0;5.0;2.0;;;1624464000
8513125;19/06/2021 19:00;Ended;26542;1;4698;4703;1.0;1.0;3.0;;;1624129200
8513124;14/06/2021 19:00;Ended;26542;1;4698;4688;0.0;0.0;3.0;;;1623697200
8513130;23/06/2021 16:00;Ended;26542;1;4688;4703;3.0;2.0;1.0;;;1624464000
8602448;18/06/2021 13:00;Ended;26542;1;4688;4697;1.0;0.0;1.0;;;1624021200
8513124;14/06/2021 19:00;Ended;26542;1;4698;4688;0.0;0.0;3.0;;;1623697200
8513130;23/06/2021 16:00;Ended;26542;1;4688;4703;3.0;2.0;1.0;;;1624464000
8513125;19/06/2021 19:00;Ended;26542;1;4698;4703;1.0;1.0;3.0;;;1624129200
8602452;14/06/2021 16:00;Ended;26542;1;4703;4697;1.0;2.0;2.0;;;1623686400
8513116;23/06/2021 19:00;Ended;26542;1;4704;4481;2.0;2.0;3.0;;;1624474800
8513113;19/06/2021 16:00;Ended;26542;1;4704;4711;2.0;4.0;2.0;;;1624118400
8602461;15/06/2021 16:00;Ended;26542;1;4709;4704;0.0;3.0;2.0;;;1623772800
8513116;23/06/2021 19:00;Ended;26542;1;4704;4481;2.0;2.0;3.0;;;1624474800
8602455;19/06/2021 13:00;Ended;26542;1;4709;4481;1.0;1.0;3.0;;;1624107600
8513114;15/06/2021 19:00;Ended;26542;1;4481;4711;1.0;0.0;1.0;;;1623783600
8602466;23/06/2021 19:00;Ended;26542;1;4711;4709;2.0;2.0;3.0;;;1624474800
8513113;19/06/2021 16:00;Ended;26542;1;4704;4711;2.0;4.0;2.0;;;1624118400
8513114;15/06/2021 19:00;Ended;26542;1;4481;4711;1.0;0.0;1.0;;;1623783600
8602466;23/06/2021 19:00;Ended;26542;1;4711;4709;2.0;2.0;3.0;;;1624474800
8602455;19/06/2021 13:00;Ended;26542;1;4709;4481;1.0;1.0;3.0;;;1624107600
8602461;15/06/2021 16:00;Ended;26542;1;4709;4704;0.0;3.0;2.0;;;1623772800
6964832;20/06/2016 19:00;Ended;11098;1;4694;4702;0.0;3.0;2.0;;;1466449200
6964822;15/06/2016 13:00;Ended;11098;1;4694;4697;1.0;2.0;2.0;;;1465995600
6964814;11/06/2016 19:00;Ended;11098;1;4713;4694;1.0;1.0;3.0;;;1465671600
6964832;20/06/2016 19:00;Ended;11098;1;4694;4702;0.0;3.0;2.0;;;1466449200
6964828;16/06/2016 13:00;Ended;11098;1;4713;4702;2.0;1.0;1.0;;;1466082000
6964813;11/06/2016 16:00;Ended;11098;1;4702;4697;2.0;1.0;1.0;;;1465660800
6964829;20/06/2016 19:00;Ended;11098;1;4697;4713;0.0;0.0;3.0;;;1466449200
6964822;15/06/2016 13:00;Ended;11098;1;4694;4697;1.0;2.0;2.0;;;1465995600
6964813;11/06/2016 16:00;Ended;11098;1;4702;4697;2.0;1.0;1.0;;;1465660800
6964829;20/06/2016 19:00;Ended;11098;1;4697;4713;0.0;0.0;3.0;;;1466449200
6964828;16/06/2016 13:00;Ended;11098;1;4713;4702;2.0;1.0;1.0;;;1466082000
6964814;11/06/2016 19:00;Ended;11098;1;4713;4694;1.0;1.0;3.0;;;1465671600
6964831;21/06/2016 16:00;Ended;11098;1;4701;4703;0.0;1.0;2.0;;;1466524800
6964823;16/06/2016 16:00;Ended;11098;1;4701;4786;0.0;2.0;2.0;;;1466092800
6964816;12/06/2016 19:00;Ended;11098;1;4711;4701;2.0;0.0;1.0;;;1465758000
6964831;21/06/2016 16:00;Ended;11098;1;4701;4703;0.0;1.0;2.0;;;1466524800
6964826;16/06/2016 19:00;Ended;11098;1;4711;4703;0.0;0.0;3.0;;;1466103600
6964818;12/06/2016 16:00;Ended;11098;1;4703;4786;1.0;0.0;1.0;;;1465747200
6964835;21/06/2016 16:00;Ended;11098;1;4786;4711;0.0;1.0;2.0;;;1466524800
