,id_season,id_comp,country,name,short_name,color_primary,color_secondary
1644,69619,357,FRA,Paris Saint-Germain,0,#000066,#ff1541
3006,69619,357,PRT,Benfica,0,#cc0000,#ffffff
1653,65,34,MCO,AS Monaco,0,#ffffff,#ff0000
1715,2719,34,FRA,Stade Brestois,0,#ffffff,#d20000
2959,37074,17015,NLD,Feyenoord,0,#ff0000,#ffffff
2687,69619,357,ITA,Juventus,0,#ffffff,#000000
2352,2155,679,SCO,Celtic,0,#ffffff,#009933
17,69619,357,ENG,Manchester City,0,#66ccff,#ffffff
3001,2155,679,PRT,Sporting,0,#009966,#ffffff
2888,52327,17015,BEL,Club Brugge KV,0,#0080ff,#000000
2032,52327,17015,HRV,GNK Dinamo Zagreb,0,#0b59a1,#ffffff
2677,107,35,DEU,VfB Stuttgart,0,#ffffff,#ff0000
3313,2155,679,UKR,Shakhtar Donetsk,0,#ff6600,#000000
2685,85,23,ITA,Bologna,0,#003366,#cc0000
5149,13416,679,SRB,FK Crvena zvezda,0,#d90512,#ffffff
2051,2155,679,AUT,SK Sturm Graz,0,#000000,#0000ff
2218,2155,679,CZE,AC Sparta Praha,0,#942536,#ffffff
36360,11818,35,DEU,RB Leipzig,0,#ffffff,#dd0000
24264,13662,8,ESP,Girona FC,0,#ffffff,#ff0000
2046,69619,357,AUT,Red Bull Salzburg,0,#ffffff,#ff0000
2404,37074,17015,SVK,ŠK Slovan Bratislava,0,#99ccff,#99ccff
2445,2765,679,CHE,Young Boys,0,#ffcf00,#000000
1284,37074,17015,DNK,FC København,0,#ffffff,#0066ff
3061,2155,679,TUR,Galatasaray,0,#ff9900,#ff0000
35,25680,17,ENG,Manchester United,0,#ff0000,#373737
1648,65,34,FRA,RC Lens,0,#a71a1b,#ffce00
2833,25687,8,ESP,Sevilla,0,#ffffff,#cc1020
2714,85,23,ITA,Napoli,0,#008cea,#ffffff
2999,3403,679,PRT,Sporting Braga,0,#ff0000,#ffffff
2547,37074,17015,DEU,1. FC Union Berlin,0,#ff0000,#ffffff
2824,25687,8,ESP,Real Sociedad,0,#ffffff,#0077c7
2699,85,23,ITA,Lazio,0,#64b6e1,#ffffff
39,25680,17,ENG,Newcastle United,0,#000000,#ffffff
3002,69619,357,PRT,FC Porto,0,#194f93,#ffffff
2889,29343,679,BEL,Royal Antwerp FC,0,#d10f2f,#ffffff
2953,1711,37,NLD,AFC Ajax,0,#bb002b,#ffffff
2351,17352,679,SCO,Rangers,0,#0033a0,#ff0000
4502,52327,17015,CZE,Viktoria Plzeň,0,#ff0000,#0066ff
33,37074,17015,ENG,Tottenham Hotspur,0,#ffffff,#000066
2674,52327,17015,DEU,Eintracht Frankfurt,0,#000000,#ff1111
1641,65,34,FRA,Olympique de Marseille,0,#ffffff,#66b3ff
38,61648,17015,ENG,Chelsea,0,#0310a7,#ffffff
5197,37074,17015,ISR,Maccabi Haifa,0,#009900,#ffffff
3050,52327,17015,TUR,Beşiktaş,0,#ffffff,#000000
5173,2155,679,MDA,Sheriff Tiraspol,0,#000000,#000000
3305,2765,679,UKR,Dynamo Kyiv,0,#ffffff,#0071bc
2819,42224,17015,ESP,Villarreal,0,#ffff00,#013765
2524,107,35,DEU,VfL Wolfsburg,0,#64b42d,#ffffff
2321,2765,679,RUS,Zenit St. Petersburg,0,#95e4ff,#ffffff
1892,3403,679,SWE,Malmö FF,0,#0099ff,#0099ff
2320,3403,679,RUS,Lokomotiv Moscow,0,#19683f,#cf3439
2527,107,35,DEU,Borussia M'gladbach,0,#ffffff,#000000
3245,11774,679,GRC,Olympiacos FC,0,#ff0000,#ffffff
1289,10391,679,DNK,FC Midtjylland,0,#000000,#cc0000
34425,8228,679,RUS,FK Krasnodar,0,#005e37,#000000
1658,37074,17015,FRA,Stade Rennais,0,#ff0000,#000000
1925,52327,17015,HUN,Ferencváros TC,0,#339900,#ffffff
3086,42224,17015,TUR,Başakşehir FK,0,#fc5000,#3273dc
2890,52327,17015,BEL,KRC Genk,0,#0000dd,#ffffff
2216,37074,17015,CZE,SK Slavia Praha,0,#ffffff,#e10000
1649,65,34,FRA,Olympique Lyonnais,0,#ffffff,#004080
2828,25687,8,ESP,Valencia,0,#ffffff,#000000
2530,107,35,DEU,FC Schalke 04,0,#0541cd,#ffffff
3250,2155,679,GRC,AEK Athens,0,#000000,#ffff00
2569,1557,35,DEU,TSG Hoffenheim,0,#1f5da6,#ffffff
2702,37074,17015,ITA,Roma,0,#990000,#eaca15
2325,2765,679,RUS,CSKA Moscow,0,#cc0000,#0000ce
2501,37074,17015,CHE,Basel,0,#000099,#990000
2900,42224,17015,BEL,RSC Anderlecht,0,#330066,#ffffff
5962,37074,17015,AZE,Qarabağ,0,#000000,#ffffff
2323,17352,679,RUS,FC Spartak Moscow,0,#cc0000,#cc0000
2420,3403,679,SVN,NK Maribor,0,#000099,#ffff00
3398,61648,17015,CYP,APOEL Nicosia,0,#f5c00a,#003399
43840,52327,17015,BGR,Ludogorets,0,#006837,#ffffff
2326,11773,7,RUS,FC Rostov,0,#ffff00,#3300ff
3106,52327,17015,POL,Legia Warszawa,0,#ffffff,#000000
31,29167,17,ENG,Leicester City,0,#003090,#ffffff
36155,52327,17015,KAZ,Astana,0,#fff200,#00acff
3350,2155,679,BLR,BATE Borisov,0,#0000cc,#ffcc00
5198,37074,17015,ISR,Maccabi Tel Aviv,0,#ffff00,#1e3779
2903,37074,17015,BEL,KAA Gent,0,#0033ff,#ffffff
2825,25687,8,ESP,Athletic Club,0,#aa0000,#ffffff
3301,42224,17015,ROU,FCSB,0,#ff0000,#0080ff
2203,42224,17015,AUT,Austria Wien,0,#660099,#ffffff
1642,65,34,FRA,Montpellier,0,#003e7e,#ea7118
2830,73,8,ESP,Málaga,0,#ffffff,#3791f2
1292,52327,17015,DNK,FC Nordsjælland,0,#cc0000,#ff0000
5287,37074,17015,ROU,CFR 1907 Cluj,0,#8d2642,#ffffff
3051,6361,679,TUR,Trabzonspor,0,#0099ff,#990000
3291,3402,7,ROU,SC Oțelul Galați,0,#ff0000,#ff0000
2955,1711,37,NLD,FC Twente,0,#ff0000,#ff0000
2534,107,35,DEU,SV Werder Bremen,0,#009966,#ffffff
5396,2155,679,ISR,Hapoel Tel Aviv,0,#ff0000,#ffffff
3055,2764,7,TUR,Bursaspor,0,#339966,#ffffff
2333,3403,679,RUS,Rubin Kazan,0,#b70000,#dddd00
3248,61648,17015,GRC,Panathinaikos,0,#005e00,#ffffff
2402,2764,7,SVK,MŠK Žilina,0,#ffff33,#ffff33
1646,65,34,FRA,Auxerre,0,#ffffff,#0033ff
5152,37074,17015,SRB,FK Partizan,0,#000033,#000000
1645,65,34,FRA,Bordeaux,0,#001244,#ffffff
2450,3403,679,CHE,FC Zürich,0,#ffffff,#ffffff
2693,42224,17015,ITA,Fiorentina,0,#542baa,#ffffff
1921,2765,679,HUN,Debreceni VSC,0,#cc0000,#cc0000
6120,1825,7,ROU,Unirea Urziceni,0,#374df5,#374df5
2901,3403,679,BEL,Standard Liège,0,#cc0000,#ffffff
2950,37074,17015,NLD,AZ Alkmaar,0,#ff0000,#000000
3403,37074,17015,CYP,Anorthosis Famagusta,0,#0000d5,#003399
1290,8228,679,DNK,AaB,0,#ffffff,#ff0000
3052,52327,17015,TUR,Fenerbahçe,0,#000066,#ffff00
1161,2765,679,NOR,Rosenborg BK,0,#374df5,#374df5
3273,2155,679,BGR,Levski Sofia,0,#0958b0,#0958b0
2676,107,35,DEU,Hamburger SV,0,#ffffff,#ffffff
2055,61648,17015,AUT,SK Rapid Wien,0,#00794b,#ffffff
2454,6361,679,CHE,FC Thun,0,#cc0000,#cc0000
2695,85,23,ITA,Udinese,0,#ffffff,#000000
2816,61648,17015,ESP,Real Betis,0,#ffffff,#006633
2400,14,7,SVK,FC Petržalka 1898,0,#ffffff,#222226
2832,25687,8,ESP,Deportivo La Coruña,0,#003399,#ffffff
2821,25687,8,ESP,Celta Vigo,0,#6cace4,#ffffff
656,37074,17015,NOR,Bodø/Glimt,0,#ffcc33,#000000
4860,44509,679,BEL,Royale Union Saint-Gilloise,0,#ffec06,#1649fa
3251,37074,17015,GRC,PAOK,0,#000000,#ffffff
1762,6361,679,SWE,IF Elfsborg,0,#ffff00,#ffff00
68718,42224,17015,LVA,RFS,0,#0a64c0,#ffffff
1661,42224,17015,FRA,Nice,0,#000000,#cc0000
37,42224,17015,ENG,West Ham United,0,#66192c,#59b3e4
2538,106,35,DEU,SC Freiburg,0,#cc3333,#000000
263360,61648,17015,SRB,FK TSC Bačka Topola,0,#191970,#ffffff
30,13380,17,ENG,Brighton & Hove Albion,0,#0054a6,#ffffff
3397,53654,679,CYP,Aris Limassol,0,#006600,#ffffff
35268,53654,679,POL,Raków Częstochowa,0,#ff0000,#5481c8
1681,65,34,FRA,Toulouse,0,#660099,#ffffff
2058,37074,17015,AUT,LASK,0,#ffffff,#000000
2448,53654,679,CHE,Servette FC,0,#660000,#660000
661,42224,17015,NOR,Molde FK,0,#2173b9,#ffffff
1760,53654,679,SWE,BK Häcken,0,#000000,#ffcc00
3404,3403,679,CYP,AEK Larnaca,0,#006600,#006600
2242,37074,17015,FIN,HJK,0,#0000cc,#ffffff
3395,37074,17015,CYP,Omonia Nicosia,0,#01703d,#ffffff
1647,65,34,FRA,Nantes,0,#ffdc12,#00a94e
1281,37725,679,DNK,Brøndby IF,0,#ffff00,#ffff00
3275,37074,17015,BGR,CSKA Sofia,0,#b40000,#ffffff
3179,11774,679,IRL,Dundalk FC,0,#ffffff,#000000
5202,42224,17015,ISR,Hapoel Be'er Sheva,0,#ff0000,#ffffff
3121,42224,17015,POL,Lech Poznań,0,#004b93,#ffffff
33779,3502,8,ESP,Granada,0,#cc0000,#ffffff
2039,6361,679,HRV,HNK Rijeka,0,#ffffff,#6699ff
5987,37074,17015,UKR,Zorya Luhansk,0,#000000,#ffffff
3076,42224,17015,TUR,Sivasspor,0,#cc0000,#ffffff
2076,23755,679,AUT,Wolfsberger AC,0,#ffffff,#000000
2219,6361,679,CZE,FC Slovan Liberec,0,#0b89c5,#ffffff
5207,17352,679,LUX,F91 Dudelange,0,#ffff00,#ffff00
2443,52327,17015,CHE,FC Lugano,0,#000000,#ffffff
2859,100,8,ESP,Getafe,0,#00369e,#ffffff
3009,61648,17015,PRT,Vitória SC,0,#ffffff,#000000
2814,25688,8,ESP,Espanyol,0,#ffffff,#1369d2
1678,63,34,FRA,Saint-Étienne,0,#1e824c,#ffffff
25479,23755,679,UKR,Oleksandria,0,#fdc042,#000000
3,1,17,ENG,Wolverhampton,0,#ff9900,#000000
2406,52327,17015,SVK,FC Spartak Trnava,0,#ff0000,#000000
3309,3403,679,UKR,Vorskla Poltava,0,#ffffff,#009f00
3402,42224,17015,CYP,Apollon Limassol,0,#2424ff,#000000
822,17352,679,NOR,Sarpsborg 08,0,#0033cc,#ffffff
24748,17352,679,TUR,Akhisarspor,0,#000000,#669999
2205,37074,17015,CZE,FK Jablonec,0,#66cc00,#66cc00
1926,4790,679,HUN,Fehérvár FC,0,#f00000,#000d5b
