,id,name,short_name,primary_color,secondary_color,country_alpha
1139,75115,TSV Aubstadt,Aubstadt,#ee1111,#ffffff,DEU
1140,70944,FC Augsburg II,Augsburg II,#ffffff,#cd1719,DEU
1141,23537,DJK Vilzing,Vilzing,#ffd700,#000000,DEU
1142,23947,FC Würzburger Kickers,Würzburger Kickers,#ffffff,#ff0000,DEU
1143,2559,SV Wacker Burghausen,Burghausen,#ffffff,#000000,DEU
1144,5791,SV Viktoria Aschaffenburg,Aschaffenburg,#0000ff,#ffffff,DEU
1145,2568,Bayern München II,Bayern II,#ff0000,#ffffff,DEU
1146,5872,1. FC Nürnberg II,Nürnberg II,#990000,#000000,DEU
1147,2599,SpVgg Ansbach,Ansbach,#13736f,#ff0000,DEU
1148,2566,Erzgebirge Aue,Aue,#5b00b7,#ffffff,DEU
1149,2562,Rot-Weiss Essen,RW Essen,#ffffff,#ffffff,DEU
1150,2533,F.C. Hansa Rostock,Rostock,#0033ff,#0033ff,DEU
1151,2680,SV Waldhof Mannheim,Mannheim,#000080,#ffffff,DEU
1152,6157,SV Sandhausen,Sandhausen,#c0c0c0,#ffffff,DEU
1153,2532,Energie Cottbus,Cottbus,#ff0000,#ff0000,DEU
1154,2581,VfL Osnabrück,Osnabrück,#ffffff,#ffffff,DEU
1155,2580,SSV Ulm 1846,Ulm,#ffffff,#000000,DEU
1158,2447,FC Aarau,Aarau,#000000,#ffffff,CHE
1159,2442,FC St. Gallen 1879,St. Gallen,#ffffff,#009933,CHE
1160,2452,FC Sion,Sion,#ff0000,#ffffff,CHE
1161,2460,Yverdon-Sport FC,Yverdon-Sport,#ffffff,#ffffff,CHE
1163,162348,TSV 1882 Landsberg,Landsberg,#ff0000,#ffffff,DEU
1164,35162,FC Stade-Lausanne-Ouchy,Stade Ls Ouchy,#ffffff,#ff0000,CHE
1165,38614,FC Balzers,Balzers,#ffff00,#000080,LIE
1166,2461,Schaffhausen,Schaffhausen,#ffff33,#ffff33,CHE
1167,2490,Stade Nyonnais,,#ffff00,#ffff00,CHE
1168,2497,Étoile Carouge FC,Étoile Carouge,#000080,#ffffff,CHE
1169,38620,USV Eschen-Mauren,Eschen-Mauren,#ffffff,#0000ff,LIE
1172,73883,Deutschlandsberger SC,DSC,#fcea19,#000066,AUT
1173,189472,SV Lebring,SV Lebring,#374df5,#374df5,AUT
1174,258912,SV Lafnitz II,SV Lafnitz II,#374df5,#374df5,AUT
1175,335285,FC Kindberg Murzhofen,FC Kindberg Murzhofen,#374df5,#374df5,
1176,368302,FC Schladming,FC Schladming,#374df5,#374df5,
1177,6015,SV Allerheiligen,Allerheiligen,#fadf00,#000000,AUT
1181,2348,St. Johnstone,St. Johnstone,#0066ff,#ffffff,SCO
1182,2346,Motherwell,,#ffcc00,#97004b,SCO
1183,2357,Dundee FC,Dundee,#000093,#000000,SCO
1184,2355,Aberdeen,,#cc0000,#ffffff,SCO
1185,2349,Dundee United,Dundee Utd,#ff6600,#ff6600,SCO
1186,2352,Celtic,Celtic,#ffffff,#009933,SCO
1187,82,Shrewsbury Town,Shrewsbury,#0000ff,#ffff00,ENG
1188,57,Northampton Town,Northampton,#890000,#890000,ENG
1189,86,Exeter City,Exeter,#ffffff,#e92553,ENG
1190,9,Birmingham City,Birmingham,#000099,#ffffff,ENG
1191,83,Leyton Orient,Leyton Orient,#ff0000,#ffffff,ENG
1194,13,Rotherham United,Rotherham,#ff0000,#ffffff,ENG
1196,59,Huddersfield Town,Huddersfield,#ffffff,#0000ff,ENG
1199,2186,FC Wolfurt,Wolfurt,#ecdb43,#153185,AUT
1200,369132,SC Göfis,SC Göfis,#374df5,#374df5,AUT
1201,2184,FC Nenzing,Nenzing,#374df5,#374df5,AUT
1202,388995,SV Ludesch,,#374df5,#374df5,
1203,106983,Dornbirner SV,Dornbirner,#007e54,#000000,AUT
1204,2063,Lustenau,Lustenau,#374df5,#374df5,AUT
1205,2133,RW Rankweil,Rankweil,#fd0000,#ffffff,AUT
1206,2187,SC Röthis,SC Röthis,#ffffff,#003d8f,AUT
1207,201691,SV Lochau,,#374df5,#374df5,AUT
1208,353845,FC Rotenberg,,#374df5,#374df5,AUT
1209,203029,SV Stripfing,Stripfing,#2755a7,#fef403,AUT
1210,6281,SKU Amstetten,Amstetten,#e90808,#ffffff,AUT
1211,7786,Schwarz-Weiß Bregenz,SW Bregenz,#ffffff,#000000,AUT
1215,291621,FC Marchfeld Donauauen,Marchfeld Donauauen,#e10d23,#294898,AUT
1216,2092,Rapid Wien II,Rapid II,#00794b,#ffffff,AUT
1219,229644,Rukh Lviv,Rukh Lviv,#1a1a1a,#ffff00,UKR
1220,200123,Inhulets Petrove,Inhulets,#ffff28,#0080ff,UKR
1221,3305,Dynamo Kyiv,Dynamo Kyiv,#ffffff,#0071bc,UKR
1222,5987,Zorya Luhansk,Zorya Luhansk,#000000,#ffffff,UKR
1223,3310,Chornomorets Odesa,Chornomorets,#000000,#ffffff,UKR
1224,258536,Polissya Zhytomyr,Polissya,#f0cc00,#1a863a,UKR
1225,200776,Kolos Kovalivka,Kolos Kovalivka,#ffffff,#000000,UKR
1226,294048,FC Kryvbas Kryvyi Rih,Kryvbas,#374df5,#374df5,UKR
1227,284427,LNZ Cherkasy,LNZ Cherkasy,#ffffff,#222226,
1228,36246,NK Lokomotiva Zagreb,Lokomotiva,#0000ff,#ffffff,HRV
1229,2042,NK Slaven Belupo,Slaven,#4f6abc,#ffffff,HRV
1230,2036,HNK Hajduk Split,Hajduk,#ffffff,#ffffff,HRV
1231,2039,HNK Rijeka,Rijeka,#ffffff,#6699ff,HRV
1232,2029,HNK Šibenik,Šibenik,#fd6d19,#000080,HRV
1233,2032,GNK Dinamo Zagreb,Dinamo,#0b59a1,#ffffff,HRV
1234,2040,NK Osijek,Osijek,#08246d,#ffffff,HRV
1235,25529,NK Istra 1961,Istra,#eee447,#222226,HRV
1236,231380,NK Varaždin,Varaždin,#004194,#ffffff,HRV
1238,2208,FK Teplice,Teplice,#fdde02,#fdde02,CZE
1239,2219,FC Slovan Liberec,Slovan Liberec,#0b89c5,#ffffff,CZE
1240,4871,1. FC Slovácko,Slovácko,#ffffff,#00006c,CZE
1243,36363,VfL Halle,Halle,#ff0000,#2574ad,DEU
1244,74487,Einheit Rudolstadt,Rudolstadt,#ffdc00,#027a3d,DEU
1245,5564,VfB Germania Halberstadt,Halberstadt,#ff0000,#ffffff,DEU
1246,5864,Ludwigsfelder FC,Ludwigsfelde,#ff0000,#ffff00,DEU
1247,258720,VfB 1921 Krieschow,1921 Krieschow,#000000,#676767,DEU
1248,386486,FC Einheit Wernigerode,Einheit Wernigerode,#374df5,#374df5,DEU
1249,24094,1. FC Magdeburg II,Magdeburg II,#374df5,#374df5,DEU
1250,201243,Bischofswerdaer FV 08,,#0000ff,#ffffff,DEU
1251,201242,BSG Wismut Gera,Wismut Gera,#374df5,#374df5,DEU
1252,290878,SV Blau-Weiss Zorbau,BW Zorbau,#374df5,#374df5,DEU
1253,524891,SV Naunhof,,#374df5,#374df5,
1254,257504,Ebersbrunner SV,,#374df5,#374df5,
1255,2617,VfB 09 Pössneck,Pössneck,#374df5,#374df5,DEU
1256,5861,Berliner FC Dynamo,BFC Dynamo,#990000,#ffffff,DEU
1257,228141,BSG Chemie Leipzig,Chemie Leipzig,#127c4b,#ffffff,DEU
1258,5567,ZFC Meuselwitz,Meuselwitz,#ffffff,#ffffff,DEU
1259,2549,SV Babelsberg 03,,#ffffff,#000000,DEU
1260,2614,FC Carl Zeiss Jena,Jena,#ffffff,#ffff00,DEU
1261,36358,FSV Luckenwalde,Luckenwalde,#0000ff,#ffd700,DEU
1262,74483,VSG Altglienicke,Altglienicke,#1e90ff,#ffffff,DEU
1263,5043,SC Neusiedl 1919,Neusiedl,#13896c,#ffffff,AUT
1264,2066,Wiener Sport-Club,Wiener SC,#000000,#ffffff,AUT
1265,321219,SV Gloggnitz,,#374df5,#374df5,AUT
1266,201932,SC Lassee,,#374df5,#374df5,
1267,2067,Kapfenberger SV,KSV 1919,#ff0000,#ffffff,AUT
1270,2948,FC Utrecht,Utrecht,#ff0000,#ffffff,NLD
1271,2990,Almere City FC,Almere City,#620709,#222226,NLD
1272,2947,NAC Breda,NAC Breda,#ffcc00,#000000,NLD
1273,2952,PSV Eindhoven,PSV,#ff0000,#ffffff,NLD
1274,2961,Willem II Tilburg,Willem II,#ffffff,#0000ff,NLD
1275,2959,Feyenoord,Feyenoord,#ff0000,#ffffff,NLD
1276,2955,FC Twente,Twente,#ff0000,#ff0000,NLD
1277,2960,Sparta Rotterdam,Sparta,#ffffff,#ff0000,NLD
1278,2951,FC Groningen,Groningen,#ffffff,#009933,NLD
1279,2977,Heracles Almelo,Heracles,#ffffff,#000000,NLD
1280,224604,Eendracht Termien,,#374df5,#374df5,BEL
