id,id_competition,year
11155,384,2016
9691,384,2015
7568,384,2014
5788,384,2013
4122,384,2012
3181,384,2011
2561,384,2010
1959,384,2009
53820,295,23/25
26781,295,2022
10583,295,2018
3554,295,2014
984,295,2010
1487,295,2006
69427,11,2026
35021,11,2022
10585,11,2018
3657,11,2014
1152,11,2010
25,11,2006
71944,373,2025
58134,373,2024
48876,373,2023
40438,373,2022
35829,373,2021
26773,373,2020
19960,373,2019
15906,373,2018
12862,373,2017
11349,373,2016
9804,373,2015
7770,373,2014
5984,373,2013
4398,373,2012
3285,373,2011
2614,373,2010
2006,373,2009
59243,436,2024
36417,436,2021
11442,436,2016
4526,436,2012
1394,436,2008
64021,1054,24/25
53661,1054,23/24
44968,1054,22/23
38336,1054,21/22
34871,1054,20/21
24785,1054,19/20
19809,1054,18/19
16303,1054,2018
12962,1054,2017
11363,1054,2016
9654,1054,2015
7596,1054,2014
6093,1054,2013
4532,1054,2012
56249,13,2025
24680,13,2022
10586,13,2018
3877,13,2014
1002,13,2010
51384,246,2023
16919,246,2019
7918,246,2015
2696,246,2011
72603,390,2025
59015,390,2024
49058,390,2023
40560,390,2022
36162,390,2021
27593,390,2020
22932,390,2019
16184,390,2018
13101,390,2017
11430,390,2016
10189,390,2015
7780,390,2014
6143,390,2013
4480,390,2012
3346,390,2011
2685,390,2010
2080,390,2009
1224,390,2008
46930,290,2023
19902,290,2019
9602,290,2015
3144,290,2011
53508,308,23-25
23606,308,2022
10187,308,2018
3319,308,2014
1000,308,2010
1520,308,2006
59242,437,2024
36542,437,2021
11443,437,2016
4528,437,2012
1396,437,2008
58146,14,2025
29436,14,2022
10191,14,2018
3358,10618,2014
1154,14,2010
70291,14602,2025
57287,14602,2024
48263,14602,2023
40284,14602,2022
36202,14602,2021
26912,14602,2020
41103,10618,2022
15012,10618,2018
64335,309,2024
40003,309,2022
10584,309,2018
4054,309,2014
1001,309,2010
