,id,name,slug_name,location_name,location_id,location_flag,sport_name
119,11539,"Primera A, Apertura",primera-a-apertura,Colombia,274,colombia,Football
120,152,Romanian Super Liga,superliga,Romania,77,romania,Football
121,355,Cupa României Betano,cupa-romaniei-betano,Romania,77,romania,Football
122,23039,Hessenpokal,hessenpokal,Germany Amateur,122,germany,Football
123,491,3. Liga,3-liga,Germany,30,germany,Football
124,1079,Regionalliga Südwest,regionalliga-sudwest,Germany Amateur,122,germany,Football
125,45,Austrian Bundesliga,bundesliga,Austria,17,austria,Football
126,135,2. Liga,2-liga,Austria,17,austria,Football
127,47,Danish 1st Division,1st-division,Denmark,8,denmark,Football
128,35,Bundesliga,bundesliga,Germany,30,germany,Football
129,44,2. Bundesliga,2-bundesliga,Germany,30,germany,Football
130,11096,Regionalliga Playoffs,regionalliga-playoffs,Germany Amateur,122,germany,Football
131,42,Regionalliga Nord,regionalliga-nord,Germany Amateur,122,germany,Football
132,493,Regionalliga West,regionalliga-west,Germany Amateur,122,germany,Football
133,22834,Landesliga Tirol,landesliga-tirol,Austria Amateur,97,austria,Football
134,9240,Kerschdorfer Tirol Cup,kerschdorfer-tirol-cup,Austria,97,austria,Football
135,53275,ÖFB Amateurcup,ofb-amateurcup,Austria,17,austria,Football
136,205,FNL,fnl,Czech Republic,18,czech-republic,Football
137,211,Niké Liga,nike-liga,Slovakia,23,slovakia,Football
138,166,Regionalliga Ost,regionalliga-ost,Austria Amateur,97,austria,Football
139,445,ÖFB Cup,ofb-cup,Austria,17,austria,Football
140,210,Mozzart Bet Superliga,mozzart-bet-superliga,Serbia,152,serbia,Football
141,1085,Regionalliga Bayern,regionalliga-bayern,Germany Amateur,122,germany,Football
142,26771,Bayerischer Totopokal,bayerischer-totopokal,Germany Amateur,122,germany,Football
143,216,Challenge League,challenge-league,Switzerland,25,switzerland,Football
144,757,FL1 Aktiv - Cup,fl1-aktiv-cup,Liechtenstein,512,liechtenstein,Football
145,6712,STFV Cup,steirer-cup,Austria,97,austria,Football
146,22842,Landesliga Steiermark,landesliga-steiermark,Austria Amateur,97,austria,Football
147,347,Scottish Cup,scottish-cup,Scotland,22,scotland,Football
148,24,League One,league-one,England,1,england,Football
149,22843,Landesliga Vorarlberg,landesliga-vorarlberg,Austria Amateur,97,austria,Football
150,43326,VFV Cup,vfv-cup,Austria,97,austria,Football
151,218,Ukrainian Premier League,premier-league,Ukraine,86,ukraine,Football
152,312,Ukraine Cup,ukraine-cup,Ukraine,86,ukraine,Football
153,170,HNL,hnl,Croatia,14,croatia,Football
154,150,Oberliga NOFV Süd,oberliga-nofv-sud,Germany Amateur,122,germany,Football
155,1083,Regionalliga Nordost,regionalliga-nordost,Germany Amateur,122,germany,Football
156,37,Eredivisie,eredivisie,Netherlands,35,netherlands,Football
157,38,Pro League,pro-league,Belgium,33,belgium,Football
158,168,Regionalliga Mitte,regionalliga-mitte,Austria Amateur,97,austria,Football
159,9,Challenger Pro League,challenger-pro-league,Belgium,33,belgium,Football
160,1105,Oberliga Mittelrhein,oberliga-mittelrhein,Germany Amateur,122,germany,Football
161,21352,BFV Cup,bfv-cup,Austria Amateur,97,austria,Football
162,22828,Landesliga Burgenland,landesliga-burgenland,Austria Amateur,97,austria,Football
163,174,National League South,national-league-south,England Amateur,252,england,Football
164,173,National League,national-league,England,1,england,Football
165,229,Betclic 1. Liga,i-liga,Poland,47,poland,Football
166,515,Betclic 2. Liga,ii-liga,Poland,47,poland,Football
167,9387,CFL,cfl,Czech Republic,18,czech-republic,Football
168,202,Ekstraklasa,ekstraklasa,Poland,47,poland,Football
169,25,League Two,league-two,England,1,england,Football
170,11315,"Betclic 3. Liga, Group 3",iii-liga-group-3,Poland,47,poland,Football
171,11402,Tweede Divisie,tweede-divisie,Netherlands,35,netherlands,Football
172,131,Eerste Divisie,eerste-divisie,Netherlands,35,netherlands,Football
173,679,UEFA Europa League,uefa-europa-league,Europe,1465,europe,Football
174,21485,"Northern Premier League, Division One East",northern-premier-league-division-one-east,England Amateur,252,england,Football
175,65,Danish 2nd Division,2nd-division,Denmark,8,denmark,Football
176,18,Championship,championship,England,1,england,Football
177,334,Football League Trophy,football-league-trophy,England,1,england,Football
178,13773,"Pan American Games, Women",pan-american-games-women,World,1468,international,Football
179,3076,SheBelieves Cup,shebelieves-cup,World,1468,international,Football
