,name,slug_name,unique_comp_id
154,Hessenpokal ,hessenpokal,23039
155,3. Liga,3-liga,491
156,Regionalliga Southwest,regionalliga-southwest,1079
157,"Austrian Bundesliga, Relegation Round",bundesliga-relegation-round,45
158,2. Liga,2-liga,135
159,"1. Division, Relegation Round",1st-division-relegation-group,47
160,"Danish Superliga, Relegation round",superligaen-relegation-round,39
161,"Bundesliga, Relegation/Promotion Playoffs",bundesliga-relegationpromotion-playoffs,35
162,2. Bundesliga,2-bundesliga,44
163,"Regionalliga, Promotion Playoffs",regionalliga-promotion-playoffs,11096
164,Regionalliga North,regionalliga-north,42
165,Regionalliga West,regionalliga-west,493
166,Landesliga Tirol,landesliga-tirol,22834
167,Kerschdorfer Tirol Cup,kerschdorfer-tirol-cup,9240
168,ÖFB Amateurcup,ofb-amateurcup,53275
169,FNL,fnl,205
170,"Niké Liga, Relegation/Promotion Playoffs",nike-liga-relegationpromotion-playoffs,211
171,"Niké Liga, Relegation Round",nike-liga-relegation-round,211
172,Regionalliga Ost,regionalliga-ost,166
173,"Austrian Bundesliga, Europa League Playoffs",bundesliga-europa-league-playoffs,45
174,OFB Cup,ofb-cup,445
175,"Russian Cup, Qualification",russian-cup-qualification,91
176,"Mozzart Bet Superliga, Championship Round",superliga-championship-round,210
177,Mozzart Bet Superliga,mozzart-bet-superliga,210
178,Regionalliga Bavaria,regionalliga-bavaria,1085
179,Bayerischer Totopokal,bayerischer-totopokal,26771
180,"Swiss Super League, Relegation/Promotion",super-league-relegationpromotion,215
181,"Swiss Super League, Relegation Round",super-league-relegation-round,215
182,Challenge League,challenge-league,216
183,Liechtensteiner Cup,liechtensteiner-cup,757
184,STFV Cup,steirer-cup,6712
185,Landesliga Steiermark,landesliga-steiermark,22842
186,Scottish Cup,scottish-cup,347
187,League One,league-one,24
188,Landesliga Vorarlberg,landesliga-vorarlberg,22843
189,VFV Cup,vfv-cup,43326
190,Ukraine Cup,ukraine-cup,312
191,HNL,hnl,170
192,Chance Liga,1-liga-placement-playoffs,172
