match_id,team_id,half,stat_name,value
13472729,1974,1,ground_duels,25/54 (46%)
13472729,1981,1,aerial_duels,4/8 (50%)
13472729,1974,1,aerial_duels,4/8 (50%)
13472729,1981,1,dribbles,5/11 (45%)
13472729,1974,1,dribbles,7/15 (47%)
13472729,1981,1,tackles_won,73%
13472729,1974,1,tackles_won,89%
13472729,1981,1,total_tackles,11
13472729,1974,1,total_tackles,9
13472729,1981,1,interceptions,4
13472729,1974,1,interceptions,3
13472729,1981,1,recoveries,25
13472729,1974,1,recoveries,29
13472729,1981,1,clearances,5
13472729,1974,1,clearances,7
13472729,1981,1,total_saves,3
13472729,1974,1,total_saves,1
13472729,1981,1,goal_kicks,3
13472729,1974,1,goal_kicks,2
13472729,1981,2,ball_possession,53%
13472729,1974,2,ball_possession,47%
13472729,1981,2,expected_goals,0.25
13472729,1974,2,expected_goals,0.42
13472729,1981,2,big_chances,0
13472729,1974,2,big_chances,1
13472729,1981,2,total_shots,7
13472729,1974,2,total_shots,6
13472729,1981,2,goalkeeper_saves,3
13472729,1974,2,goalkeeper_saves,2
13472729,1981,2,corner_kicks,4
13472729,1974,2,corner_kicks,3
13472729,1981,2,passes,212
13472729,1974,2,passes,189
13472729,1981,2,tackles,8
13472729,1974,2,tackles,10
13472729,1981,2,free_kicks,4
13472729,1974,2,free_kicks,9
13472729,1981,2,yellow_cards,1
13472729,1974,2,yellow_cards,2
13472729,1981,2,total_shots,7
13472729,1974,2,total_shots,6
13472729,1981,2,shots_on_target,2
13472729,1974,2,shots_on_target,4
13472729,1981,2,hit_woodwork,0
13472729,1974,2,hit_woodwork,0
13472729,1981,2,shots_off_target,3
13472729,1974,2,shots_off_target,1
13472729,1981,2,blocked_shots,2
13472729,1974,2,blocked_shots,1
13472729,1981,2,shots_inside_box,3
13472729,1974,2,shots_inside_box,1
13472729,1981,2,shots_outside_box,4
13472729,1974,2,shots_outside_box,5
13472729,1981,2,big_chances_scored,0
13472729,1974,2,big_chances_scored,1
13472729,1981,2,big_chances_missed,0
13472729,1974,2,big_chances_missed,0
13472729,1981,2,through_balls,0
13472729,1974,2,through_balls,0
13472729,1981,2,fouled_in_final_third,0
13472729,1974,2,fouled_in_final_third,2
13472729,1981,2,offsides,0
13472729,1974,2,offsides,1
13472729,1981,2,accurate_passes,172
13472729,1974,2,accurate_passes,152
13472729,1981,2,throw_ins,10
13472729,1974,2,throw_ins,9
13472729,1981,2,final_third_entries,28
13472729,1974,2,final_third_entries,22
13472729,1981,2,long_balls,11/28 (39%)
13472729,1974,2,long_balls,10/21 (48%)
13472729,1981,2,crosses,1/13 (8%)
13472729,1974,2,crosses,0/11 (0%)
13472729,1981,2,duels,40%
13472729,1974,2,duels,60%
13472729,1981,2,dispossessed,5
